12	0	0.000000
9	0	0.000000
17	0	0.000000
13	0	0.000000
18	0	0.000000
9	0	0.000000
8	0	0.000000
11	0	0.000000
8	0	0.000000
9	0	0.000000
9	0	0.000000
7	0	0.000000
15	0	0.000000
9	0	0.000000
9	0	0.000000
11	0	0.000000
12	0	0.000000
7	0	0.000000
9	0	0.000000
6	0	0.000000
12	0	0.000000
12	0	0.000000
12	0	0.000000
5	0	0.000000
8	0	0.000000
9	0	0.000000
9	0	0.000000
11	0	0.000000
12	0	0.000000
11	0	0.000000
10	0	0.000000
10	0	0.000000
6	0	0.000000
7	0	0.000000
13	0	0.000000
8	0	0.000000
12	0	0.000000
5	0	0.000000
10	0	0.000000
10	0	0.000000
6	0	0.000000
11	0	0.000000
12	0	0.000000
8	0	0.000000
13	0	0.000000
10	0	0.000000
11	0	0.000000
9	0	0.000000
12	0	0.000000
10	0	0.000000
6	0	0.000000
7	0	0.000000
7	0	0.000000
10	0	0.000000
12	0	0.000000
5	0	0.000000
14	0	0.000000
7	0	0.000000
9	0	0.000000
11	0	0.000000
10	0	0.000000
14	0	0.000000
9	0	0.000000
8	0	0.000000
6	0	0.000000
3	0	0.000000
7	0	0.000000
8	0	0.000000
9	0	0.000000
12	0	0.000000
9	0	0.000000
12	0	0.000000
7	0	0.000000
10	0	0.000000
12	0	0.000000
7	0	0.000000
4	0	0.000000
7	0	0.000000
8	0	0.000000
8	0	0.000000
10	0	0.000000
12	0	0.000000
6	0	0.000000
10	0	0.000000
9	0	0.000000
7	0	0.000000
7	0	0.000000
13	0	0.000000
9	0	0.000000
4	0	0.000000
11	0	0.000000
12	0	0.000000
8	0	0.000000
10	0	0.000000
7	0	0.000000
9	0	0.000000
7	0	0.000000
12	0	0.000000
10	0	0.000000
10	0	0.000000
12	0	0.000000
6	0	0.000000
15	0	0.000000
12	0	0.000000
8	0	0.000000
10	0	0.000000
10	0	0.000000
5	0	0.000000
8	0	0.000000
10	0	0.000000
10	0	0.000000
9	0	0.000000
7	0	0.000000
5	0	0.000000
8	0	0.000000
8	0	0.000000
8	0	0.000000
8	0	0.000000
6	0	0.000000
8	0	0.000000
10	0	0.000000
8	0	0.000000
13	0	0.000000
14	0	0.000000
8	0	0.000000
11	0	0.000000
8	0	0.000000
11	0	0.000000
9	0	0.000000
10	0	0.000000
10	0	0.000000
12	0	0.000000
15	0	0.000000
8	0	0.000000
15	0	0.000000
16	0	0.000000
8	0	0.000000
10	0	0.000000
11	0	0.000000
11	0	0.000000
11	0	0.000000
8	0	0.000000
6	0	0.000000
4	0	0.000000
10	0	0.000000
10	0	0.000000
8	0	0.000000
12	0	0.000000
8	0	0.000000
10	0	0.000000
14	0	0.000000
12	0	0.000000
11	0	0.000000
10	0	0.000000
11	0	0.000000
10	0	0.000000
8	0	0.000000
10	0	0.000000
5	0	0.000000
14	0	0.000000
12	0	0.000000
7	0	0.000000
9	0	0.000000
10	0	0.000000
14	0	0.000000
7	0	0.000000
13	0	0.000000
11	0	0.000000
12	0	0.000000
3	0	0.000000
8	0	0.000000
10	0	0.000000
15	0	0.000000
18	0	0.000000
8	0	0.000000
10	0	0.000000
14	0	0.000000
11	0	0.000000
18	0	0.000000
11	0	0.000000
11	0	0.000000
10	0	0.000000
5	0	0.000000
6	0	0.000000
5	0	0.000000
12	0	0.000000
10	0	0.000000
11	0	0.000000
11	0	0.000000
6	0	0.000000
9	0	0.000000
5	0	0.000000
10	0	0.000000
8	0	0.000000
9	0	0.000000
12	0	0.000000
15	0	0.000000
6	0	0.000000
11	0	0.000000
14	0	0.000000
6	0	0.000000
12	0	0.000000
10	0	0.000000
9	0	0.000000
7	0	0.000000
12	0	0.000000
7	0	0.000000
13	0	0.000000
12	0	0.000000
10	0	0.000000
6	0	0.000000
9	0	0.000000
18	0	0.000000
12	0	0.000000
5	0	0.000000
8	0	0.000000
9	0	0.000000
11	0	0.000000
10	0	0.000000
15	0	0.000000
13	0	0.000000
14	0	0.000000
12	0	0.000000
11	0	0.000000
13	0	0.000000
8	0	0.000000
10	0	0.000000
12	0	0.000000
5	0	0.000000
12	0	0.000000
13	0	0.000000
6	0	0.000000
7	0	0.000000
6	0	0.000000
6	0	0.000000
12	0	0.000000
11	0	0.000000
6	0	0.000000
12	0	0.000000
13	0	0.000000
8	0	0.000000
7	0	0.000000
9	0	0.000000
8	0	0.000000
6	0	0.000000
10	0	0.000000
11	0	0.000000
9	0	0.000000
6	0	0.000000
13	0	0.000000
17	0	0.000000
8	0	0.000000
7	0	0.000000
13	0	0.000000
15	0	0.000000
6	0	0.000000
11	0	0.000000
12	0	0.000000
15	0	0.000000
7	0	0.000000
10	0	0.000000
10	0	0.000000
11	0	0.000000
9	0	0.000000
10	0	0.000000
9	0	0.000000
11	0	0.000000
10	0	0.000000
9	0	0.000000
10	0	0.000000
7	0	0.000000
7	0	0.000000
7	0	0.000000
10	0	0.000000
8	0	0.000000
7	0	0.000000
12	0	0.000000
11	0	0.000000
12	0	0.000000
10	0	0.000000
9	0	0.000000
4	0	0.000000
12	0	0.000000
8	0	0.000000
8	0	0.000000
8	0	0.000000
12	0	0.000000
5	0	0.000000
8	0	0.000000
14	0	0.000000
14	0	0.000000
13	0	0.000000
15	0	0.000000
14	0	0.000000
6	0	0.000000
12	0	0.000000
12	0	0.000000
9	0	0.000000
14	0	0.000000
10	0	0.000000
11	0	0.000000
14	0	0.000000
14	0	0.000000
4	0	0.000000
13	0	0.000000
8	0	0.000000
8	0	0.000000
12	0	0.000000
10	0	0.000000
5	0	0.000000
7	0	0.000000
8	0	0.000000
8	0	0.000000
5	0	0.000000
2	0	0.000000
10	0	0.000000
9	0	0.000000
10	0	0.000000
9	0	0.000000
9	0	0.000000
11	0	0.000000
15	0	0.000000
5	0	0.000000
7	0	0.000000
11	0	0.000000
7	0	0.000000
8	0	0.000000
11	0	0.000000
6	0	0.000000
7	0	0.000000
13	0	0.000000
6	0	0.000000
10	0	0.000000
8	0	0.000000
13	0	0.000000
8	0	0.000000
15	0	0.000000
13	0	0.000000
10	0	0.000000
6	0	0.000000
6	0	0.000000
14	0	0.000000
12	0	0.000000
7	0	0.000000
16	0	0.000000
13	0	0.000000
11	0	0.000000
8	0	0.000000
10	0	0.000000
11	0	0.000000
13	0	0.000000
8	0	0.000000
4	0	0.000000
5	0	0.000000
7	0	0.000000
9	0	0.000000
6	0	0.000000
13	0	0.000000
11	0	0.000000
10	0	0.000000
9	0	0.000000
7	0	0.000000
10	0	0.000000
8	0	0.000000
10	0	0.000000
7	0	0.000000
14	0	0.000000
7	0	0.000000
14	0	0.000000
7	0	0.000000
9	0	0.000000
10	0	0.000000
9	0	0.000000
9	0	0.000000
12	0	0.000000
12	0	0.000000
10	0	0.000000
12	0	0.000000
6	0	0.000000
12	0	0.000000
13	0	0.000000
12	0	0.000000
11	0	0.000000
10	0	0.000000
10	0	0.000000
15	0	0.000000
12	0	0.000000
8	0	0.000000
9	0	0.000000
16	0	0.000000
17	0	0.000000
7	0	0.000000
12	0	0.000000
11	0	0.000000
8	0	0.000000
9	0	0.000000
6	0	0.000000
11	0	0.000000
11	0	0.000000
16	0	0.000000
16	0	0.000000
4	0	0.000000
9	0	0.000000
7	0	0.000000
9	0	0.000000
9	0	0.000000
9	0	0.000000
7	0	0.000000
7	0	0.000000
4	0	0.000000
11	0	0.000000
8	0	0.000000
7	0	0.000000
9	0	0.000000
16	0	0.000000
15	0	0.000000
8	0	0.000000
6	0	0.000000
7	0	0.000000
7	0	0.000000
12	0	0.000000
10	0	0.000000
17	0	0.000000
13	0	0.000000
8	0	0.000000
8	0	0.000000
9	0	0.000000
3	0	0.000000
4	0	0.000000
12	0	0.000000
11	0	0.000000
13	0	0.000000
6	0	0.000000
12	0	0.000000
12	0	0.000000
18	0	0.000000
12	0	0.000000
3	0	0.000000
6	0	0.000000
10	0	0.000000
6	0	0.000000
13	0	0.000000
9	0	0.000000
8	0	0.000000
15	0	0.000000
13	0	0.000000
11	0	0.000000
5	0	0.000000
11	0	0.000000
16	0	0.000000
5	0	0.000000
12	0	0.000000
5	0	0.000000
10	0	0.000000
14	0	0.000000
10	0	0.000000
11	0	0.000000
11	0	0.000000
13	0	0.000000
17	0	0.000000
7	0	0.000000
11	0	0.000000
9	0	0.000000
10	0	0.000000
7	0	0.000000
6	0	0.000000
9	0	0.000000
7	0	0.000000
10	0	0.000000
9	0	0.000000
13	0	0.000000
8	0	0.000000
6	0	0.000000
13	0	0.000000
8	0	0.000000
11	0	0.000000
9	0	0.000000
13	0	0.000000
14	0	0.000000
12	0	0.000000
9	0	0.000000
10	0	0.000000
10	0	0.000000
16	0	0.000000
9	0	0.000000
5	0	0.000000
14	0	0.000000
11	0	0.000000
17	0	0.000000
8	0	0.000000
12	0	0.000000
11	0	0.000000
10	0	0.000000
16	0	0.000000
11	0	0.000000
7	0	0.000000
13	0	0.000000
14	0	0.000000
8	0	0.000000
17	0	0.000000
13	0	0.000000
15	0	0.000000
12	0	0.000000
7	0	0.000000
8	0	0.000000
10	0	0.000000
17	0	0.000000
13	0	0.000000
10	0	0.000000
9	0	0.000000
8	0	0.000000
11	0	0.000000
17	0	0.000000
6	0	0.000000
10	0	0.000000
9	0	0.000000
5	0	0.000000
10	0	0.000000
6	0	0.000000
11	0	0.000000
11	0	0.000000
7	0	0.000000
9	0	0.000000
7	0	0.000000
9	0	0.000000
5	0	0.000000
16	0	0.000000
13	0	0.000000
12	0	0.000000
6	0	0.000000
12	0	0.000000
10	0	0.000000
8	0	0.000000
8	0	0.000000
5	0	0.000000
9	0	0.000000
7	0	0.000000
10	0	0.000000
11	0	0.000000
6	0	0.000000
13	0	0.000000
8	0	0.000000
10	0	0.000000
9	0	0.000000
12	0	0.000000
13	0	0.000000
12	0	0.000000
9	0	0.000000
11	0	0.000000
8	0	0.000000
11	0	0.000000
10	0	0.000000
9	0	0.000000
8	0	0.000000
3	0	0.000000
14	0	0.000000
12	0	0.000000
13	0	0.000000
12	0	0.000000
10	0	0.000000
15	0	0.000000
17	0	0.000000
11	0	0.000000
10	0	0.000000
4	0	0.000000
13	0	0.000000
4	0	0.000000
11	0	0.000000
12	0	0.000000
14	0	0.000000
8	0	0.000000
12	0	0.000000
10	0	0.000000
6	0	0.000000
12	0	0.000000
10	0	0.000000
10	0	0.000000
10	0	0.000000
17	0	0.000000
13	0	0.000000
9	0	0.000000
8	0	0.000000
8	0	0.000000
13	0	0.000000
7	0	0.000000
9	0	0.000000
6	0	0.000000
11	0	0.000000
14	0	0.000000
11	0	0.000000
9	0	0.000000
9	0	0.000000
9	0	0.000000
9	0	0.000000
14	0	0.000000
10	0	0.000000
18	0	0.000000
11	0	0.000000
10	0	0.000000
10	0	0.000000
9	0	0.000000
9	0	0.000000
13	0	0.000000
13	0	0.000000
10	0	0.000000
8	0	0.000000
16	0	0.000000
8	0	0.000000
6	0	0.000000
3	0	0.000000
9	0	0.000000
11	0	0.000000
5	0	0.000000
8	0	0.000000
10	0	0.000000
6	0	0.000000
8	0	0.000000
9	0	0.000000
5	0	0.000000
8	0	0.000000
13	0	0.000000
10	0	0.000000
9	0	0.000000
6	0	0.000000
11	0	0.000000
10	0	0.000000
5	0	0.000000
11	0	0.000000
12	0	0.000000
13	0	0.000000
9	0	0.000000
12	0	0.000000
12	0	0.000000
7	0	0.000000
7	0	0.000000
7	0	0.000000
15	0	0.000000
9	0	0.000000
10	0	0.000000
14	0	0.000000
6	0	0.000000
12	0	0.000000
12	0	0.000000
8	0	0.000000
12	0	0.000000
17	0	0.000000
10	0	0.000000
10	0	0.000000
13	0	0.000000
8	0	0.000000
4	0	0.000000
4	0	0.000000
12	0	0.000000
7	0	0.000000
5	0	0.000000
7	0	0.000000
13	0	0.000000
6	0	0.000000
9	0	0.000000
7	0	0.000000
11	0	0.000000
15	0	0.000000
10	0	0.000000
15	0	0.000000
9	0	0.000000
10	0	0.000000
12	0	0.000000
11	0	0.000000
8	0	0.000000
6	0	0.000000
9	0	0.000000
7	0	0.000000
8	0	0.000000
10	0	0.000000
11	0	0.000000
4	0	0.000000
9	0	0.000000
4	0	0.000000
11	0	0.000000
15	0	0.000000
9	0	0.000000
14	0	0.000000
9	0	0.000000
11	0	0.000000
6	0	0.000000
10	0	0.000000
15	0	0.000000
4	0	0.000000
11	0	0.000000
10	0	0.000000
7	0	0.000000
7	0	0.000000
11	0	0.000000
6	0	0.000000
13	0	0.000000
3	0	0.000000
15	0	0.000000
9	0	0.000000
12	0	0.000000
7	0	0.000000
13	0	0.000000
12	0	0.000000
10	0	0.000000
9	0	0.000000
8	0	0.000000
10	0	0.000000
10	0	0.000000
17	0	0.000000
16	0	0.000000
12	0	0.000000
17	0	0.000000
10	0	0.000000
8	0	0.000000
11	0	0.000000
8	0	0.000000
14	0	0.000000
4	0	0.000000
9	0	0.000000
10	0	0.000000
9	0	0.000000
11	0	0.000000
7	0	0.000000
4	0	0.000000
16	0	0.000000
10	0	0.000000
6	0	0.000000
10	0	0.000000
11	0	0.000000
16	0	0.000000
15	0	0.000000
7	0	0.000000
11	0	0.000000
12	0	0.000000
12	0	0.000000
9	0	0.000000
12	0	0.000000
12	0	0.000000
13	0	0.000000
6	0	0.000000
9	0	0.000000
8	0	0.000000
10	0	0.000000
12	0	0.000000
9	0	0.000000
9	0	0.000000
8	0	0.000000
11	0	0.000000
11	0	0.000000
14	0	0.000000
11	0	0.000000
13	0	0.000000
11	0	0.000000
14	0	0.000000
10	0	0.000000
14	0	0.000000
9	0	0.000000
13	0	0.000000
11	0	0.000000
13	0	0.000000
10	0	0.000000
5	0	0.000000
10	0	0.000000
7	0	0.000000
15	0	0.000000
12	0	0.000000
8	0	0.000000
11	0	0.000000
11	0	0.000000
11	0	0.000000
9	0	0.000000
7	0	0.000000
7	0	0.000000
12	0	0.000000
11	0	0.000000
8	0	0.000000
12	0	0.000000
8	0	0.000000
10	0	0.000000
14	0	0.000000
10	0	0.000000
11	0	0.000000
9	0	0.000000
11	0	0.000000
10	0	0.000000
9	0	0.000000
10	0	0.000000
10	0	0.000000
6	0	0.000000
11	0	0.000000
13	0	0.000000
9	0	0.000000
17	0	0.000000
7	0	0.000000
16	0	0.000000
9	0	0.000000
3	0	0.000000
13	0	0.000000
8	0	0.000000
6	0	0.000000
12	0	0.000000
14	0	0.000000
8	0	0.000000
8	0	0.000000
6	0	0.000000
12	0	0.000000
7	0	0.000000
9	0	0.000000
11	0	0.000000
8	0	0.000000
13	0	0.000000
17	0	0.000000
19	0	0.000000
9	0	0.000000
10	0	0.000000
7	0	0.000000
13	0	0.000000
13	0	0.000000
10	0	0.000000
12	0	0.000000
13	0	0.000000
7	0	0.000000
6	0	0.000000
7	0	0.000000
17	0	0.000000
7	0	0.000000
18	0	0.000000
7	0	0.000000
13	0	0.000000
13	0	0.000000
11	0	0.000000
7	0	0.000000
7	0	0.000000
5	0	0.000000
1	0	0.000000
8	0	0.000000
12	0	0.000000
15	0	0.000000
4	0	0.000000
2	0	0.000000
16	0	0.000000
8	0	0.000000
9	0	0.000000
13	0	0.000000
9	0	0.000000
7	0	0.000000
13	0	0.000000
11	0	0.000000
6	0	0.000000
14	0	0.000000
8	0	0.000000
13	0	0.000000
5	0	0.000000
9	0	0.000000
10	0	0.000000
12	0	0.000000
17	0	0.000000
14	0	0.000000
16	0	0.000000
10	0	0.000000
12	0	0.000000
3	0	0.000000
9	0	0.000000
13	0	0.000000
13	0	0.000000
6	0	0.000000
6	0	0.000000
7	0	0.000000
10	0	0.000000
11	0	0.000000
7	0	0.000000
13	0	0.000000
11	0	0.000000
9	0	0.000000
11	0	0.000000
9	0	0.000000
17	0	0.000000
9	0	0.000000
5	0	0.000000
11	0	0.000000
10	0	0.000000
9	0	0.000000
7	0	0.000000
9	0	0.000000
13	0	0.000000
10	0	0.000000
15	0	0.000000
6	0	0.000000
11	0	0.000000
10	0	0.000000
10	0	0.000000
7	0	0.000000
11	0	0.000000
13	0	0.000000
3	0	0.000000
7	0	0.000000
3	0	0.000000
7	0	0.000000
10	0	0.000000
9	0	0.000000
11	0	0.000000
8	0	0.000000
17	0	0.000000
8	0	0.000000
8	0	0.000000
9	0	0.000000
9	0	0.000000
8	0	0.000000
5	0	0.000000
10	0	0.000000
5	0	0.000000
8	0	0.000000
11	0	0.000000
10	0	0.000000
6	0	0.000000
6	0	0.000000
17	0	0.000000
8	0	0.000000
12	0	0.000000
11	0	0.000000
8	0	0.000000
9	0	0.000000
7	0	0.000000
12	0	0.000000
11	0	0.000000
10	0	0.000000
4	0	0.000000
8	0	0.000000
9	0	0.000000
9	0	0.000000
11	0	0.000000
20	0	0.000000
14	0	0.000000
10	0	0.000000
9	0	0.000000
5	0	0.000000
7	0	0.000000
17	0	0.000000
6	0	0.000000
12	0	0.000000
9	0	0.000000
9	0	0.000000
10	0	0.000000
9	0	0.000000
7	0	0.000000
10	0	0.000000
14	0	0.000000
13	0	0.000000
8	0	0.000000
9	0	0.000000
7	0	0.000000
4	0	0.000000
6	0	0.000000
10	0	0.000000
11	0	0.000000
12	0	0.000000
10	0	0.000000
11	0	0.000000
6	0	0.000000
10	0	0.000000
11	0	0.000000
16	0	0.000000
9	0	0.000000
9	0	0.000000
15	0	0.000000
7	0	0.000000
16	0	0.000000
10	0	0.000000
7	0	0.000000
9	0	0.000000
8	0	0.000000
13	0	0.000000
6	0	0.000000
11	0	0.000000
9	0	0.000000
11	0	0.000000
9	0	0.000000
5	0	0.000000
10	0	0.000000
6	0	0.000000
12	0	0.000000
9	0	0.000000
2	0	0.000000
6	0	0.000000
4	0	0.000000
4	0	0.000000
10	0	0.000000
13	0	0.000000
9	0	0.000000
6	0	0.000000
10	0	0.000000
13	0	0.000000
9	0	0.000000
4	0	0.000000
8	0	0.000000
9	0	0.000000
6	0	0.000000
11	0	0.000000
16	0	0.000000
11	0	0.000000
6	0	0.000000
11	0	0.000000
6	0	0.000000
16	0	0.000000
9	0	0.000000
15	0	0.000000
14	0	0.000000
11	0	0.000000
9	0	0.000000
10	0	0.000000
11	0	0.000000
9	0	0.000000
10	0	0.000000
12	0	0.000000
10	0	0.000000
11	0	0.000000
9	0	0.000000
3	0	0.000000
12	0	0.000000
9	0	0.000000
9	0	0.000000
8	0	0.000000
10	0	0.000000
7	0	0.000000
11	0	0.000000
7	0	0.000000
7	0	0.000000
15	0	0.000000
9	0	0.000000
9	0	0.000000
14	0	0.000000
9	0	0.000000
7	0	0.000000
11	0	0.000000
11	0	0.000000
7	0	0.000000
13	0	0.000000
8	0	0.000000
13	0	0.000000
9	0	0.000000
8	0	0.000000
10	0	0.000000
10	0	0.000000
12	0	0.000000
13	0	0.000000
10	0	0.000000
5	0	0.000000
11	0	0.000000
10	0	0.000000
8	0	0.000000
12	0	0.000000
4	0	0.000000
6	0	0.000000
7	0	0.000000
7	0	0.000000
9	0	0.000000
16	0	0.000000
7	0	0.000000
10	0	0.000000
10	0	0.000000
10	0	0.000000
4	0	0.000000
12	0	0.000000
11	0	0.000000
3	0	0.000000
5	0	0.000000
10	0	0.000000
6	0	0.000000
8	0	0.000000
8	0	0.000000
13	0	0.000000
8	0	0.000000
6	0	0.000000
11	0	0.000000
11	0	0.000000
7	0	0.000000
13	0	0.000000
7	0	0.000000
9	0	0.000000
9	0	0.000000
12	0	0.000000
8	0	0.000000
9	0	0.000000
12	0	0.000000
10	0	0.000000
12	0	0.000000
8	0	0.000000
5	0	0.000000
10	0	0.000000
12	0	0.000000
5	0	0.000000
16	0	0.000000
11	0	0.000000
8	0	0.000000
18	0	0.000000
7	0	0.000000
11	0	0.000000
6	0	0.000000
6	0	0.000000
5	0	0.000000
12	0	0.000000
7	0	0.000000
13	0	0.000000
9	0	0.000000
11	0	0.000000
8	0	0.000000
9	0	0.000000
8	0	0.000000
11	0	0.000000
6	0	0.000000
10	0	0.000000
15	0	0.000000
14	0	0.000000
18	0	0.000000
6	0	0.000000
10	0	0.000000
9	0	0.000000
11	0	0.000000
9	0	0.000000
10	0	0.000000
16	0	0.000000
5	0	0.000000
8	0	0.000000
8	0	0.000000
13	0	0.000000
7	0	0.000000
7	0	0.000000
10	0	0.000000
16	0	0.000000
10	0	0.000000
14	0	0.000000
6	0	0.000000
9	0	0.000000
11	0	0.000000
5	0	0.000000
14	0	0.000000
7	0	0.000000
6	0	0.000000
12	0	0.000000
9	0	0.000000
9	0	0.000000
7	0	0.000000
10	0	0.000000
9	0	0.000000
8	0	0.000000
6	0	0.000000
5	0	0.000000
12	0	0.000000
6	0	0.000000
15	0	0.000000
12	0	0.000000
17	0	0.000000
9	0	0.000000
7	0	0.000000
16	0	0.000000
10	0	0.000000
13	0	0.000000
8	0	0.000000
12	0	0.000000
11	0	0.000000
12	0	0.000000
9	0	0.000000
7	0	0.000000
8	0	0.000000
13	0	0.000000
8	0	0.000000
7	0	0.000000
7	0	0.000000
12	0	0.000000
6	0	0.000000
8	0	0.000000
13	0	0.000000
9	0	0.000000
7	0	0.000000
7	0	0.000000
14	0	0.000000
9	0	0.000000
10	0	0.000000
13	0	0.000000
9	0	0.000000
8	0	0.000000
14	0	0.000000
7	0	0.000000
9	0	0.000000
9	0	0.000000
11	0	0.000000
6	0	0.000000
13	0	0.000000
10	0	0.000000
13	0	0.000000
17	0	0.000000
8	0	0.000000
12	0	0.000000
10	0	0.000000
9	0	0.000000
7	0	0.000000
12	0	0.000000
4	0	0.000000
10	0	0.000000
11	0	0.000000
9	0	0.000000
7	0	0.000000
10	0	0.000000
7	0	0.000000
13	0	0.000000
6	0	0.000000
4	0	0.000000
12	0	0.000000
13	0	0.000000
7	0	0.000000
8	0	0.000000
5	0	0.000000
8	0	0.000000
7	0	0.000000
14	0	0.000000
8	0	0.000000
8	0	0.000000
14	0	0.000000
15	0	0.000000
5	0	0.000000
10	0	0.000000
10	0	0.000000
11	0	0.000000
15	0	0.000000
15	0	0.000000
14	0	0.000000
12	0	0.000000
7	0	0.000000
12	0	0.000000
7	0	0.000000
7	0	0.000000
13	0	0.000000
8	0	0.000000
12	0	0.000000
9	0	0.000000
9	0	0.000000
11	0	0.000000
18	0	0.000000
9	0	0.000000
12	0	0.000000
15	0	0.000000
10	0	0.000000
11	0	0.000000
7	0	0.000000
9	0	0.000000
14	0	0.000000
7	0	0.000000
6	0	0.000000
11	0	0.000000
10	0	0.000000
8	0	0.000000
16	0	0.000000
10	0	0.000000
7	0	0.000000
6	0	0.000000
13	0	0.000000
12	0	0.000000
8	0	0.000000
10	0	0.000000
13	0	0.000000
19	0	0.000000
10	0	0.000000
8	0	0.000000
7	0	0.000000
7	0	0.000000
9	0	0.000000
8	0	0.000000
8	0	0.000000
9	0	0.000000
11	0	0.000000
10	0	0.000000
12	0	0.000000
8	0	0.000000
10	0	0.000000
9	0	0.000000
10	0	0.000000
10	0	0.000000
19	0	0.000000
6	0	0.000000
8	0	0.000000
8	0	0.000000
11	0	0.000000
3	0	0.000000
12	0	0.000000
18	0	0.000000
14	0	0.000000
8	0	0.000000
5	0	0.000000
9	0	0.000000
13	0	0.000000
8	0	0.000000
6	0	0.000000
11	0	0.000000
13	0	0.000000
6	0	0.000000
9	0	0.000000
11	0	0.000000
13	0	0.000000
8	0	0.000000
11	0	0.000000
6	0	0.000000
9	0	0.000000
14	0	0.000000
13	0	0.000000
6	0	0.000000
10	0	0.000000
11	0	0.000000
12	0	0.000000
11	0	0.000000
11	0	0.000000
8	0	0.000000
11	0	0.000000
7	0	0.000000
6	0	0.000000
11	0	0.000000
9	0	0.000000
4	0	0.000000
9	0	0.000000
8	0	0.000000
6	0	0.000000
8	0	0.000000
10	0	0.000000
9	0	0.000000
12	0	0.000000
12	0	0.000000
10	0	0.000000
4	0	0.000000
15	0	0.000000
9	0	0.000000
6	0	0.000000
10	0	0.000000
7	0	0.000000
7	0	0.000000
10	0	0.000000
12	0	0.000000
9	0	0.000000
7	0	0.000000
10	0	0.000000
12	0	0.000000
9	0	0.000000
9	0	0.000000
11	0	0.000000
3	0	0.000000
15	0	0.000000
13	0	0.000000
13	0	0.000000
6	0	0.000000
11	0	0.000000
11	0	0.000000
12	0	0.000000
17	0	0.000000
11	0	0.000000
7	0	0.000000
8	0	0.000000
11	0	0.000000
9	0	0.000000
8	0	0.000000
16	0	0.000000
9	0	0.000000
8	0	0.000000
11	0	0.000000
10	0	0.000000
7	0	0.000000
13	0	0.000000
4	0	0.000000
13	0	0.000000
11	0	0.000000
10	0	0.000000
12	0	0.000000
17	0	0.000000
9	0	0.000000
11	0	0.000000
10	0	0.000000
10	0	0.000000
13	0	0.000000
11	0	0.000000
8	0	0.000000
9	0	0.000000
10	0	0.000000
12	0	0.000000
18	0	0.000000
6	0	0.000000
11	0	0.000000
8	0	0.000000
11	0	0.000000
12	0	0.000000
5	0	0.000000
8	0	0.000000
11	0	0.000000
7	0	0.000000
16	0	0.000000
10	0	0.000000
10	0	0.000000
7	0	0.000000
11	0	0.000000
11	0	0.000000
8	0	0.000000
13	0	0.000000
8	0	0.000000
7	0	0.000000
5	0	0.000000
7	0	0.000000
10	0	0.000000
10	0	0.000000
7	0	0.000000
8	0	0.000000
4	0	0.000000
5	0	0.000000
7	0	0.000000
10	0	0.000000
13	0	0.000000
12	0	0.000000
11	0	0.000000
10	0	0.000000
11	0	0.000000
7	0	0.000000
7	0	0.000000
6	0	0.000000
10	0	0.000000
16	0	0.000000
7	0	0.000000
6	0	0.000000
10	0	0.000000
13	0	0.000000
6	0	0.000000
9	0	0.000000
6	0	0.000000
14	0	0.000000
12	0	0.000000
9	0	0.000000
10	0	0.000000
11	0	0.000000
17	0	0.000000
9	0	0.000000
7	0	0.000000
13	0	0.000000
7	0	0.000000
12	0	0.000000
17	0	0.000000
6	0	0.000000
16	0	0.000000
9	0	0.000000
7	0	0.000000
11	0	0.000000
11	0	0.000000
8	0	0.000000
9	0	0.000000
1	0	0.000000
11	0	0.000000
9	0	0.000000
14	0	0.000000
10	0	0.000000
17	0	0.000000
5	0	0.000000
10	0	0.000000
7	0	0.000000
7	0	0.000000
13	0	0.000000
9	0	0.000000
6	0	0.000000
12	0	0.000000
10	0	0.000000
6	0	0.000000
7	0	0.000000
11	0	0.000000
10	0	0.000000
13	0	0.000000
10	0	0.000000
13	0	0.000000
10	0	0.000000
9	0	0.000000
11	0	0.000000
9	0	0.000000
6	0	0.000000
8	0	0.000000
9	0	0.000000
8	0	0.000000
16	0	0.000000
7	0	0.000000
6	0	0.000000
11	0	0.000000
7	0	0.000000
10	0	0.000000
17	0	0.000000
9	0	0.000000
4	0	0.000000
12	0	0.000000
16	0	0.000000
10	0	0.000000
10	0	0.000000
13	0	0.000000
6	0	0.000000
11	0	0.000000
4	0	0.000000
9	0	0.000000
9	0	0.000000
7	0	0.000000
14	0	0.000000
10	0	0.000000
7	0	0.000000
11	0	0.000000
8	0	0.000000
4	0	0.000000
7	0	0.000000
9	0	0.000000
10	0	0.000000
6	0	0.000000
11	0	0.000000
9	0	0.000000
13	0	0.000000
12	0	0.000000
8	0	0.000000
8	0	0.000000
10	0	0.000000
9	0	0.000000
10	0	0.000000
9	0	0.000000
10	0	0.000000
10	0	0.000000
10	0	0.000000
10	0	0.000000
9	0	0.000000
16	0	0.000000
7	0	0.000000
8	0	0.000000
4	0	0.000000
9	0	0.000000
7	0	0.000000
11	0	0.000000
8	0	0.000000
9	0	0.000000
9	0	0.000000
12	0	0.000000
5	0	0.000000
10	0	0.000000
13	0	0.000000
11	0	0.000000
12	0	0.000000
9	0	0.000000
12	0	0.000000
11	0	0.000000
9	0	0.000000
11	0	0.000000
8	0	0.000000
9	0	0.000000
8	0	0.000000
8	0	0.000000
13	0	0.000000
9	0	0.000000
5	0	0.000000
8	0	0.000000
7	0	0.000000
7	0	0.000000
10	0	0.000000
4	0	0.000000
7	0	0.000000
